POLICY_NUMBER,INCIDENT_DATE,INCIDENT_TYPE,INCIDENT_SEVERITY,AUTHORITIES_CONTACTED,INCIDENT_HOUR_OF_THE_DAY,NUMBER_OF_VEHICLES_INVOLVED,BODILY_INJURIES,WITNESSES,POLICE_REPORT_AVAILABLE,CLAIM_AMOUNT,FRAUD_REPORTED
140,2015-02-11,Single Vehicle Collision,Major Damage,Other,3,3,1,0,?,60545,true
831,2015-01-22,Single Vehicle Collision,Minor Damage,Fire,23,1,1,1,NO,64350,false
627,2015-01-06,Multi-vehicle Collision,Total Loss,None,0,1,1,1,?,64899,true
50,2015-02-21,Single Vehicle Collision,Total Loss,Other,23,3,0,1,?,53280,false
899,2015-02-16,Parked Car,Minor Damage,Other,23,1,1,1,NO,3190,false
651,2015-02-20,Multi-vehicle Collision,Trivial Damage,Fire,3,1,2,0,YES,7269,false
775,2015-01-20,Multi-vehicle Collision,Major Damage,Fire,19,3,1,2,NO,68310,false
931,2015-01-08,Single Vehicle Collision,Minor Damage,None,0,1,1,2,?,54943,false
852,2015-02-01,Multi-vehicle Collision,Major Damage,Ambulance,0,3,2,0,NO,93017,false
319,2015-02-26,Multi-vehicle Collision,Major Damage,Ambulance,3,3,0,2,?,63820,false
711,2015-01-19,Multi-vehicle Collision,Major Damage,Police,19,3,1,1,?,56160,false
487,2015-02-17,Parked Car,Major Damage,None,0,3,0,3,NO,2209,false
425,2015-02-23,Single Vehicle Collision,Total Loss,None,3,3,1,1,NO,60600,false
453,2015-02-17,Parked Car,Trivial Damage,Other,19,3,0,2,YES,54149,false
430,2015-02-28,Multi-vehicle Collision,Total Loss,Ambulance,3,3,1,0,NO,77001,true
172,2015-01-19,Parked Car,Major Damage,Police,19,1,1,3,NO,56117,false
19,2015-01-09,Multi-vehicle Collision,Minor Damage,Fire,23,1,1,1,YES,61748,false
954,2015-03-01,Multi-vehicle Collision,Total Loss,Ambulance,0,1,2,2,YES,8810,false
589,2015-01-17,Vehicle Theft,Trivial Damage,Police,19,3,0,0,YES,6991,false
714,2015-02-13,Multi-vehicle Collision,Major Damage,Fire,0,3,2,3,NO,55440,true
992,2015-01-22,Single Vehicle Collision,Major Damage,Police,3,2,0,0,?,86130,false
883,2015-02-08,Single Vehicle Collision,Minor Damage,Police,3,1,0,2,YES,60190,true
157,2015-02-08,Single Vehicle Collision,Minor Damage,Fire,19,1,0,2,NO,82265,false
858,2015-01-09,Single Vehicle Collision,Trivial Damage,Police,20,1,0,0,?,68571,true
615,2015-01-21,Multi-vehicle Collision,Total Loss,None,3,4,2,3,YES,48166,true
840,2015-02-05,Single Vehicle Collision,Minor Damage,Fire,3,1,0,0,YES,52383,false
320,2015-03-01,Multi-vehicle Collision,Minor Damage,Police,19,3,1,0,?,57108,true
230,2015-02-01,Single Vehicle Collision,Minor Damage,Ambulance,3,1,0,0,?,49935,false
288,2015-02-15,Single Vehicle Collision,Major Damage,Other,0,1,2,1,NO,68978,false
477,2015-01-16,Multi-vehicle Collision,Minor Damage,Police,3,1,0,0,YES,68934,true
695,2015-01-21,Parked Car,Total Loss,Police,0,3,1,1,?,4982,false
593,2015-02-25,Single Vehicle Collision,Minor Damage,Police,0,1,1,1,YES,41698,false
923,2015-01-14,Multi-vehicle Collision,Minor Damage,Other,23,1,1,2,YES,5723,true
43,2015-01-01,Single Vehicle Collision,Minor Damage,Police,19,1,0,2,?,87950,false
471,2015-01-28,Single Vehicle Collision,Minor Damage,Fire,0,1,2,3,NO,77697,false
322,2015-01-04,Single Vehicle Collision,Major Damage,Ambulance,0,1,2,3,NO,6213,false
541,2015-02-16,Single Vehicle Collision,Major Damage,None,19,1,1,3,?,46980,true
25,2015-02-05,Multi-vehicle Collision,Major Damage,Police,0,1,0,0,?,45511,false
841,2015-02-27,Multi-vehicle Collision,Total Loss,Fire,19,3,0,3,NO,8994,false
42,2015-01-30,Single Vehicle Collision,Minor Damage,Other,3,1,1,2,NO,6317,false
661,2015-02-18,Single Vehicle Collision,Minor Damage,Ambulance,3,3,2,3,?,67765,false
440,2015-02-27,Multi-vehicle Collision,Minor Damage,Police,19,3,2,1,NO,39514,false
375,2015-01-22,Single Vehicle Collision,Minor Damage,Police,23,3,1,3,YES,81070,false
214,2015-02-18,Multi-vehicle Collision,Minor Damage,Fire,0,3,0,2,NO,61561,false
865,2015-01-14,Multi-vehicle Collision,Major Damage,Ambulance,19,4,0,3,NO,78115,false
730,2015-01-19,Single Vehicle Collision,Minor Damage,Other,20,1,0,2,YES,51121,false
